Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","13 of 1070"
"Citizenship","Foreign nationals"

,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Citizenship]",
"1996","Duke University","Total for selected values","304",
"1996","Duke University","Foreign nationals","304",
"1996","Harvard University","Total for selected values","1,262",
"1996","Harvard University","Foreign nationals","1,262",
"1996","Massachusetts Institute of Technology","Total for selected values","1,429",
"1996","Massachusetts Institute of Technology","Foreign nationals","1,429",
"1996","Princeton University","Total for selected values","474",
"1996","Princeton University","Foreign nationals","474",
"1996","Stanford University","Total for selected values","1,483",
"1996","Stanford University","Foreign nationals","1,483",
"1996","University of Chicago","Total for selected values","580",
"1996","University of Chicago","Foreign nationals","580",
"1996","University of Pennsylvania","Total for selected values","679",
"1996","University of Pennsylvania","Foreign nationals","679",
"1996","Yale University","Total for selected values","524",
"1996","Yale University","Foreign nationals","524",
"1995","Total for selected values","Total for selected values","9,384",
"1995","Brown University","Total for selected values","301",
"1995","Brown University","Foreign nationals","301",
"1995","Columbia Univ in the City of New York","Total for selected values","911",
"1995","Columbia Univ in the City of New York","Foreign nationals","911",
"1995","Cornell University","Total for selected values","1,481",
"1995","Cornell University","Foreign nationals","1,481",
"1995","Dartmouth College","Total for selected values","85",
"1995","Dartmouth College","Foreign nationals","85",
"1995","Duke University","Total for selected values","305",
"1995","Duke University","Foreign nationals","305",
"1995","Harvard University","Total for selected values","995",
"1995","Harvard University","Foreign nationals","995",
"1995","Massachusetts Institute of Technology","Total for selected values","1,484",
"1995","Massachusetts Institute of Technology","Foreign nationals","1,484",
"1995","Princeton University","Total for selected values","474",
"1995","Princeton University","Foreign nationals","474",
"1995","Stanford University","Total for selected values","1,598",
"1995","Stanford University","Foreign nationals","1,598",
"1995","University of Chicago","Total for selected values","609",
"1995","University of Chicago","Foreign nationals","609",
"1995","University of Pennsylvania","Total for selected values","718",
"1995","University of Pennsylvania","Foreign nationals","718",
"1995","Yale University","Total for selected values","423",
"1995","Yale University","Foreign nationals","423",
"1994","Total for selected values","Total for selected values","9,375",
"1994","Brown University","Total for selected values","287",
"1994","Brown University","Foreign nationals","287",
"1994","Columbia Univ in the City of New York","Total for selected values","947",
"1994","Columbia Univ in the City of New York","Foreign nationals","947",
"1994","Cornell University","Total for selected values","1,468",
"1994","Cornell University","Foreign nationals","1,468",
"1994","Dartmouth College","Total for selected values","99",
"1994","Dartmouth College","Foreign nationals","99",
"1994","Duke University","Total for selected values","292",
"1994","Duke University","Foreign nationals","292",
"1994","Harvard University","Total for selected values","1,011",
"1994","Harvard University","Foreign nationals","1,011",
"1994","Massachusetts Institute of Technology","Total for selected values","1,480",
"1994","Massachusetts Institute of Technology","Foreign nationals","1,480",
"1994","Princeton University","Total for selected values","473",
"1994","Princeton University","Foreign nationals","473",
"1994","Stanford University","Total for selected values","1,532",
"1994","Stanford University","Foreign nationals","1,532",
"1994","University of Chicago","Total for selected values","646",
"1994","University of Chicago","Foreign nationals","646",
"1994","University of Pennsylvania","Total for selected values","721",
"1994","University of Pennsylvania","Foreign nationals","721",
"1994","Yale University","Total for selected values","419",
"1994","Yale University","Foreign nationals","419",


NOTES:,

"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Graduate Students and Postdoctorates in Science and Engineering Survey."
Downloaded 2019/03/16 at 21:50:54 PM EST,
